;Numéro;Bureau;Canton;Circo;Scrutin;Inscrits;Votants;Blancs;Nuls;Exprimés;Participation;M. CADALEN Pierre-Yves - votes;M. CADALEN Pierre-Yves - pourcentage;M. LARSONNEUR Jean-Charles - votes;M. LARSONNEUR Jean-Charles - pourcentage;M. COATANEA Marc - votes;M. COATANEA Marc - pourcentage;M. SALAMI Réza - votes;M. SALAMI Réza - pourcentage;Mme POULLAOUEC Yvette - votes;Mme POULLAOUEC Yvette - pourcentage;Mme GELEBART Anne - votes;Mme GELEBART Anne - pourcentage;M. CABON Mikaël - votes;M. CABON Mikaël - pourcentage;Mme LOUVEL Elisabeth - votes;Mme LOUVEL Elisabeth - pourcentage;M. PELLICANO Fortuné - votes;M. PELLICANO Fortuné - pourcentage;M. LE CORRE Jean-Yves - votes;M. LE CORRE Jean-Yves - pourcentage;M. COLLARD Rémy - votes;M. COLLARD Rémy - pourcentage;M. HEBERT Gérald - votes;M. HEBERT Gérald - pourcentage;Mme MADEC Sylvia - votes;Mme MADEC Sylvia - pourcentage;Mme MIGEREL Sandrine - votes;Mme MIGEREL Sandrine - pourcentage;M. HITA Melvyn - votes;M. HITA Melvyn - pourcentage;Mme VASSEUR Alice - votes;Mme VASSEUR Alice - pourcentage
10;070;GROUPE SCOLAIRE AUBRAC;1;02;Élections Législatives 1er tour;801;382;2;0;380;47,69 %;143;37,63 %;65;17,11 %;35;9,21 %;47;12,37 %;25;6,58 %;13;3,42 %;2;0,53 %;22;5,79 %;7;1,84 %;3;0,79 %;1;0,26 %;3;0,79 %;1;0,26 %;6;1,58 %;3;0,79 %;4;1,05 %
11;071;GROUPE SCOLAIRE AUBRAC;1;02;Élections Législatives 1er tour;776;278;8;0;270;35,82 %;102;37,78 %;29;10,74 %;17;6,30 %;21;7,78 %;55;20,37 %;7;2,59 %;1;0,37 %;9;3,33 %;3;1,11 %;8;2,96 %;3;1,11 %;3;1,11 %;2;0,74 %;4;1,48 %;3;1,11 %;3;1,11 %
12;085;GROUPE SCOLAIRE QUIZAC;1;02;Élections Législatives 1er tour;787;273;8;0;265;34,69 %;58;21,89 %;45;16,98 %;25;9,43 %;31;11,70 %;60;22,64 %;10;3,77 %;3;1,13 %;7;2,64 %;4;1,51 %;3;1,13 %;4;1,51 %;8;3,02 %;2;0,75 %;3;1,13 %;1;0,38 %;1;0,38 %
13;049;MAIRIE DE SAINT-MARC;5;02;Élections Législatives 1er tour;836;480;5;0;475;57,42 %;158;33,26 %;78;16,42 %;68;14,32 %;54;11,37 %;27;5,68 %;13;2,74 %;18;3,79 %;24;5,05 %;2;0,42 %;5;1,05 %;1;0,21 %;6;1,26 %;0;0,00 %;12;2,53 %;2;0,42 %;7;1,47 %
14;082;MAIRIE DE BELLEVUE (SALLE LA BARAQUE);1;02;Élections Législatives 1er tour;664;289;16;0;273;43,52 %;67;24,54 %;57;20,88 %;41;15,02 %;21;7,69 %;36;13,19 %;7;2,56 %;7;2,56 %;11;4,03 %;7;2,56 %;1;0,37 %;0;0,00 %;4;1,47 %;2;0,73 %;8;2,93 %;0;0,00 %;4;1,47 %
15;076;GROUPE SCOLAIRE KERINOU;1;02;Élections Législatives 1er tour;798;395;13;0;382;49,50 %;152;39,79 %;45;11,78 %;40;10,47 %;35;9,16 %;25;6,54 %;15;3,93 %;22;5,76 %;7;1,83 %;8;2,09 %;6;1,57 %;2;0,52 %;5;1,31 %;2;0,52 %;12;3,14 %;3;0,79 %;3;0,79 %
16;040;GROUPE SCOLAIRE GUERIN;2;02;Élections Législatives 1er tour;886;492;7;0;485;55,53 %;274;56,49 %;55;11,34 %;30;6,19 %;41;8,45 %;26;5,36 %;13;2,68 %;8;1,65 %;7;1,44 %;2;0,41 %;4;0,82 %;4;0,82 %;3;0,62 %;2;0,41 %;8;1,65 %;0;0,00 %;8;1,65 %
17;078;GROUPE SCOLAIRE BUISSON;1;02;Élections Législatives 1er tour;879;358;16;0;342;40,73 %;92;26,90 %;48;14,04 %;66;19,30 %;39;11,40 %;43;12,57 %;4;1,17 %;20;5,85 %;9;2,63 %;4;1,17 %;5;1,46 %;0;0,00 %;0;0,00 %;3;0,88 %;7;2,05 %;1;0,29 %;1;0,29 %
18;047;MAISON POUR TOUS DU GUELMEUR;5;02;Élections Législatives 1er tour;755;346;7;0;339;45,83 %;121;35,69 %;45;13,27 %;42;12,39 %;20;5,90 %;49;14,45 %;4;1,18 %;12;3,54 %;18;5,31 %;5;1,47 %;3;0,88 %;0;0,00 %;3;0,88 %;1;0,29 %;12;3,54 %;0;0,00 %;4;1,18 %
19;065;GROUPE SCOLAIRE JACQUARD;5;02;Élections Législatives 1er tour;907;457;11;0;446;50,39 %;204;45,74 %;53;11,88 %;29;6,50 %;39;8,74 %;39;8,74 %;9;2,02 %;13;2,91 %;16;3,59 %;5;1,12 %;7;1,57 %;4;0,90 %;4;0,90 %;5;1,12 %;10;2,24 %;5;1,12 %;4;0,90 %
20;091;PATRONAGE LAIQUE DE LA CAVALE BLANCHE;4;02;Élections Législatives 1er tour;735;371;11;0;360;50,48 %;105;29,17 %;55;15,28 %;60;16,67 %;40;11,11 %;32;8,89 %;11;3,06 %;11;3,06 %;13;3,61 %;8;2,22 %;5;1,39 %;2;0,56 %;2;0,56 %;1;0,28 %;11;3,06 %;1;0,28 %;3;0,83 %
21;096;L.E.P. LANROZE;4;02;Élections Législatives 1er tour;663;325;8;0;317;49,02 %;72;22,71 %;50;15,77 %;73;23,03 %;40;12,62 %;31;9,78 %;10;3,15 %;13;4,10 %;16;5,05 %;3;0,95 %;4;1,26 %;0;0,00 %;2;0,63 %;0;0,00 %;2;0,63 %;0;0,00 %;1;0,32 %
22;062;MAIRIE DE L'EUROPE;5;02;Élections Législatives 1er tour;1000;372;12;0;360;37,20 %;120;33,33 %;43;11,94 %;50;13,89 %;38;10,56 %;50;13,89 %;6;1,67 %;11;3,06 %;8;2,22 %;9;2,50 %;8;2,22 %;3;0,83 %;2;0,56 %;1;0,28 %;4;1,11 %;3;0,83 %;4;1,11 %
23;054;FOYER LAÏQUE de SAINT-MARC;5;02;Élections Législatives 1er tour;804;481;9;0;472;59,83 %;135;28,60 %;95;20,13 %;85;18,01 %;32;6,78 %;25;5,30 %;26;5,51 %;14;2,97 %;26;5,51 %;3;0,64 %;4;0,85 %;3;0,64 %;2;0,42 %;2;0,42 %;18;3,81 %;1;0,21 %;1;0,21 %
24;053;FOYER LAÏQUE de SAINT-MARC;5;02;Élections Législatives 1er tour;758;378;13;0;365;49,87 %;116;31,78 %;44;12,05 %;55;15,07 %;33;9,04 %;26;7,12 %;14;3,84 %;27;7,40 %;12;3,29 %;4;1,10 %;8;2,19 %;2;0,55 %;2;0,55 %;2;0,55 %;10;2,74 %;2;0,55 %;8;2,19 %
25;098;GROUPE SCOLAIRE ROSTAND;4;02;Élections Législatives 1er tour;873;448;7;0;441;51,32 %;124;28,12 %;58;13,15 %;64;14,51 %;61;13,83 %;45;10,20 %;13;2,95 %;17;3,85 %;18;4,08 %;7;1,59 %;6;1,36 %;3;0,68 %;2;0,45 %;1;0,23 %;12;2,72 %;3;0,68 %;7;1,59 %
26;038;PATRONAGE LAÏQUE GUERIN;2;02;Élections Législatives 1er tour;807;461;9;0;452;57,13 %;192;42,48 %;65;14,38 %;44;9,73 %;47;10,40 %;27;5,97 %;9;1,99 %;11;2,43 %;15;3,32 %;3;0,66 %;10;2,21 %;2;0,44 %;5;1,11 %;1;0,22 %;14;3,10 %;4;0,88 %;3;0,66 %
27;036;GROUPE SCOLAIRE SANQUER;2;02;Élections Législatives 1er tour;888;453;4;0;449;51,01 %;203;45,21 %;55;12,25 %;51;11,36 %;38;8,46 %;24;5,35 %;15;3,34 %;9;2,00 %;23;5,12 %;3;0,67 %;5;1,11 %;1;0,22 %;1;0,22 %;0;0,00 %;17;3,79 %;2;0,45 %;2;0,45 %
28;031;GROUPE SCOLAIRE JEAN MACE;2;02;Élections Législatives 1er tour;933;517;10;0;507;55,41 %;194;38,26 %;79;15,58 %;61;12,03 %;44;8,68 %;21;4,14 %;27;5,33 %;12;2,37 %;36;7,10 %;7;1,38 %;3;0,59 %;1;0,20 %;3;0,59 %;4;0,79 %;8;1,58 %;0;0,00 %;7;1,38 %
29;052;GROUPE SCOLAIRE KERISBIAN;5;02;Élections Législatives 1er tour;823;458;3;0;455;55,65 %;129;28,35 %;84;18,46 %;59;12,97 %;56;12,31 %;27;5,93 %;11;2,42 %;27;5,93 %;27;5,93 %;5;1,10 %;8;1,76 %;1;0,22 %;1;0,22 %;4;0,88 %;11;2,42 %;1;0,22 %;4;0,88 %
30;099;GROUPE SCOLAIRE ROSTAND;4;02;Élections Législatives 1er tour;773;399;12;0;387;51,62 %;107;27,65 %;72;18,60 %;74;19,12 %;46;11,89 %;20;5,17 %;6;1,55 %;18;4,65 %;21;5,43 %;3;0,78 %;2;0,52 %;2;0,52 %;2;0,52 %;1;0,26 %;10;2,58 %;2;0,52 %;1;0,26 %
31;055;PATRONAGE LAIQUE du PILIER ROUGE;5;02;Élections Législatives 1er tour;874;434;21;0;413;49,66 %;154;37,29 %;57;13,80 %;49;11,86 %;55;13,32 %;21;5,08 %;13;3,15 %;20;4,84 %;19;4,60 %;4;0,97 %;5;1,21 %;2;0,48 %;3;0,73 %;0;0,00 %;6;1,45 %;2;0,48 %;3;0,73 %
32;063;GROUPE SCOLAIRE JACQUARD;5;02;Élections Législatives 1er tour;864;377;12;0;365;43,63 %;132;36,16 %;54;14,79 %;47;12,88 %;34;9,32 %;45;12,33 %;8;2,19 %;8;2,19 %;7;1,92 %;6;1,64 %;6;1,64 %;1;0,27 %;0;0,00 %;3;0,82 %;9;2,47 %;1;0,27 %;4;1,10 %
33;097;GROUPE SCOLAIRE ROSTAND;4;02;Élections Législatives 1er tour;944;481;19;0;462;50,95 %;126;27,27 %;68;14,72 %;75;16,23 %;46;9,96 %;51;11,04 %;17;3,68 %;23;4,98 %;23;4,98 %;6;1,30 %;3;0,65 %;0;0,00 %;3;0,65 %;2;0,43 %;13;2,81 %;1;0,22 %;5;1,08 %
34;090;PATRONAGE LAIQUE DE LA CAVALE BLANCHE;4;02;Élections Législatives 1er tour;760;433;13;0;420;56,97 %;138;32,86 %;52;12,38 %;66;15,71 %;55;13,10 %;40;9,52 %;8;1,90 %;19;4,52 %;8;1,90 %;10;2,38 %;4;0,95 %;0;0,00 %;2;0,48 %;3;0,71 %;13;3,10 %;0;0,00 %;2;0,48 %
35;064;GROUPE SCOLAIRE JACQUARD;5;02;Élections Législatives 1er tour;806;414;5;0;409;51,36 %;172;42,05 %;41;10,02 %;50;12,22 %;39;9,54 %;24;5,87 %;16;3,91 %;13;3,18 %;19;4,65 %;3;0,73 %;6;1,47 %;3;0,73 %;9;2,20 %;0;0,00 %;8;1,96 %;1;0,24 %;5;1,22 %
36;030;GROUPE SCOLAIRE SIMONE VEIL;2;02;Élections Législatives 1er tour;891;467;8;0;459;52,41 %;160;34,86 %;69;15,03 %;63;13,73 %;65;14,16 %;20;4,36 %;16;3,49 %;13;2,83 %;28;6,10 %;4;0,87 %;2;0,44 %;1;0,22 %;4;0,87 %;2;0,44 %;7;1,53 %;1;0,22 %;4;0,87 %
37;037;HOTEL DE LA METROPOLE;2;02;Élections Législatives 1er tour;821;436;14;0;422;53,11 %;167;39,57 %;66;15,64 %;55;13,03 %;41;9,72 %;25;5,92 %;19;4,50 %;17;4,03 %;13;3,08 %;3;0,71 %;3;0,71 %;1;0,24 %;2;0,47 %;1;0,24 %;6;1,42 %;2;0,47 %;1;0,24 %
38;039;GROUPE SCOLAIRE GUERIN;2;02;Élections Législatives 1er tour;927;534;11;0;523;57,61 %;244;46,65 %;57;10,90 %;50;9,56 %;52;9,94 %;23;4,40 %;16;3,06 %;14;2,68 %;23;4,40 %;9;1,72 %;5;0,96 %;1;0,19 %;1;0,19 %;7;1,34 %;15;2,87 %;0;0,00 %;6;1,15 %
39;100;C.E.S. PENN AR C'HLEUZ;4;02;Élections Législatives 1er tour;782;342;7;0;335;43,73 %;75;22,39 %;47;14,03 %;59;17,61 %;37;11,04 %;53;15,82 %;13;3,88 %;9;2,69 %;10;2,99 %;4;1,19 %;4;1,19 %;4;1,19 %;6;1,79 %;4;1,19 %;7;2,09 %;0;0,00 %;3;0,90 %
40;101;C.E.S. PENN AR C'HLEUZ;4;02;Élections Législatives 1er tour;875;401;12;0;389;45,83 %;111;28,53 %;54;13,88 %;50;12,85 %;47;12,08 %;58;14,91 %;8;2,06 %;7;1,80 %;17;4,37 %;11;2,83 %;5;1,29 %;4;1,03 %;3;0,77 %;3;0,77 %;7;1,80 %;3;0,77 %;1;0,26 %
41;089;GROUPE SCOLAIRE DUPOUY;1;02;Élections Législatives 1er tour;815;326;18;0;308;40,00 %;126;40,91 %;32;10,39 %;31;10,06 %;20;6,49 %;40;12,99 %;10;3,25 %;10;3,25 %;11;3,57 %;4;1,30 %;7;2,27 %;4;1,30 %;2;0,65 %;1;0,32 %;4;1,30 %;4;1,30 %;2;0,65 %
42;042;PATRONAGE LAÏQUE SANQUER;5;02;Élections Législatives 1er tour;825;420;4;0;416;50,91 %;192;46,15 %;47;11,30 %;35;8,41 %;48;11,54 %;21;5,05 %;13;3,13 %;12;2,88 %;9;2,16 %;4;0,96 %;6;1,44 %;3;0,72 %;4;0,96 %;2;0,48 %;8;1,92 %;3;0,72 %;9;2,16 %
43;045;GROUPE SCOLAIRE FORESTOU;5;02;Élections Législatives 1er tour;780;397;6;0;391;50,90 %;107;27,37 %;68;17,39 %;46;11,76 %;49;12,53 %;27;6,91 %;22;5,63 %;21;5,37 %;17;4,35 %;6;1,53 %;6;1,53 %;3;0,77 %;1;0,26 %;2;0,51 %;13;3,32 %;0;0,00 %;3;0,77 %
44;087;GROUPE SCOLAIRE KERHALLET;1;02;Élections Législatives 1er tour;692;329;12;0;317;47,54 %;77;24,29 %;64;20,19 %;41;12,93 %;33;10,41 %;40;12,62 %;7;2,21 %;12;3,79 %;14;4,42 %;4;1,26 %;0;0,00 %;4;1,26 %;8;2,52 %;3;0,95 %;4;1,26 %;0;0,00 %;6;1,89 %
45;073;GROUPE SCOLAIRE DUKAS;1;02;Élections Législatives 1er tour;761;273;13;0;260;35,87 %;84;32,31 %;40;15,38 %;25;9,62 %;23;8,85 %;57;21,92 %;9;3,46 %;5;1,92 %;3;1,15 %;0;0,00 %;4;1,54 %;2;0,77 %;2;0,77 %;2;0,77 %;4;1,54 %;0;0,00 %;0;0,00 %
46;074;GROUPE SCOLAIRE DUKAS;1;02;Élections Législatives 1er tour;856;422;9;0;413;49,30 %;126;30,51 %;58;14,04 %;66;15,98 %;42;10,17 %;36;8,72 %;17;4,12 %;17;4,12 %;21;5,08 %;3;0,73 %;6;1,45 %;4;0,97 %;1;0,24 %;1;0,24 %;9;2,18 %;0;0,00 %;6;1,45 %
47;080;MAIRIE DE BELLEVUE (SALLE LA BARAQUE);1;02;Élections Législatives 1er tour;632;279;9;0;270;44,15 %;75;27,78 %;43;15,93 %;39;14,44 %;28;10,37 %;41;15,19 %;5;1,85 %;8;2,96 %;8;2,96 %;5;1,85 %;4;1,48 %;1;0,37 %;3;1,11 %;1;0,37 %;5;1,85 %;3;1,11 %;1;0,37 %
48;027;MAIRIE CENTRALE;2;02;Élections Législatives 1er tour;904;512;5;0;507;56,64 %;150;29,59 %;96;18,93 %;76;14,99 %;42;8,28 %;19;3,75 %;39;7,69 %;18;3,55 %;36;7,10 %;11;2,17 %;4;0,79 %;0;0,00 %;2;0,39 %;2;0,39 %;5;0,99 %;1;0,20 %;6;1,18 %
49;029;GROUPE SCOLAIRE SIMONE VEIL;2;02;Élections Législatives 1er tour;863;452;8;0;444;52,38 %;176;39,64 %;70;15,77 %;39;8,78 %;53;11,94 %;18;4,05 %;13;2,93 %;15;3,38 %;24;5,41 %;4;0,90 %;7;1,58 %;2;0,45 %;0;0,00 %;2;0,45 %;13;2,93 %;2;0,45 %;6;1,35 %
50;081;MAIRIE DE BELLEVUE (SALLE LA BARAQUE);1;02;Élections Législatives 1er tour;525;208;9;0;199;39,62 %;68;34,17 %;17;8,54 %;29;14,57 %;26;13,07 %;30;15,08 %;5;2,51 %;5;2,51 %;7;3,52 %;1;0,50 %;0;0,00 %;1;0,50 %;1;0,50 %;0;0,00 %;4;2,01 %;3;1,51 %;2;1,01 %
51;075;GROUPE SCOLAIRE KERINOU;1;02;Élections Législatives 1er tour;954;439;12;0;427;46,02 %;168;39,34 %;59;13,82 %;45;10,54 %;36;8,43 %;40;9,37 %;9;2,11 %;19;4,45 %;13;3,04 %;1;0,23 %;7;1,64 %;3;0,70 %;10;2,34 %;0;0,00 %;13;3,04 %;2;0,47 %;2;0,47 %
52;072;GROUPE SCOLAIRE DUKAS;1;02;Élections Législatives 1er tour;746;330;14;0;316;44,24 %;89;28,16 %;44;13,92 %;44;13,92 %;42;13,29 %;41;12,97 %;11;3,48 %;9;2,85 %;8;2,53 %;2;0,63 %;6;1,90 %;7;2,22 %;5;1,58 %;1;0,32 %;4;1,27 %;1;0,32 %;2;0,63 %
53;086;GROUPE SCOLAIRE KERHALLET;1;02;Élections Législatives 1er tour;709;265;10;0;255;37,38 %;73;28,63 %;44;17,25 %;29;11,37 %;21;8,24 %;38;14,90 %;7;2,75 %;6;2,35 %;12;4,71 %;1;0,39 %;5;1,96 %;3;1,18 %;2;0,78 %;5;1,96 %;5;1,96 %;3;1,18 %;1;0,39 %
54;044;GROUPE SCOLAIRE PILIER ROUGE;5;02;Élections Législatives 1er tour;836;419;10;0;409;50,12 %;170;41,56 %;46;11,25 %;41;10,02 %;34;8,31 %;29;7,09 %;24;5,87 %;11;2,69 %;20;4,89 %;5;1,22 %;6;1,47 %;0;0,00 %;5;1,22 %;2;0,49 %;9;2,20 %;2;0,49 %;5;1,22 %
55;088;GROUPE SCOLAIRE DUPOUY;1;02;Élections Législatives 1er tour;736;254;8;0;246;34,51 %;85;34,55 %;46;18,70 %;13;5,28 %;24;9,76 %;34;13,82 %;6;2,44 %;4;1,63 %;10;4,07 %;3;1,22 %;3;1,22 %;1;0,41 %;3;1,22 %;4;1,63 %;7;2,85 %;2;0,81 %;1;0,41 %
56;043;GROUPE SCOLAIRE PILIER ROUGE;5;02;Élections Législatives 1er tour;936;438;9;0;429;46,79 %;207;48,25 %;45;10,49 %;51;11,89 %;39;9,09 %;32;7,46 %;8;1,86 %;8;1,86 %;7;1,63 %;5;1,17 %;3;0,70 %;7;1,63 %;4;0,93 %;4;0,93 %;4;0,93 %;1;0,23 %;4;0,93 %
57;028;MAIRIE CENTRALE;2;02;Élections Législatives 1er tour;885;461;11;0;450;52,09 %;169;37,56 %;64;14,22 %;57;12,67 %;32;7,11 %;25;5,56 %;25;5,56 %;23;5,11 %;26;5,78 %;7;1,56 %;7;1,56 %;1;0,22 %;3;0,67 %;0;0,00 %;9;2,00 %;0;0,00 %;2;0,44 %
58;032;GROUPE SCOLAIRE JEAN MACE;2;02;Élections Législatives 1er tour;977;583;5;0;578;59,67 %;174;30,10 %;102;17,65 %;82;14,19 %;60;10,38 %;18;3,11 %;27;4,67 %;23;3,98 %;63;10,90 %;9;1,56 %;4;0,69 %;1;0,17 %;0;0,00 %;0;0,00 %;8;1,38 %;0;0,00 %;7;1,21 %
59;035;GROUPE SCOLAIRE SANQUER;2;02;Élections Législatives 1er tour;824;455;6;0;449;55,22 %;192;42,76 %;39;8,69 %;48;10,69 %;63;14,03 %;20;4,45 %;11;2,45 %;14;3,12 %;34;7,57 %;4;0,89 %;2;0,45 %;0;0,00 %;2;0,45 %;1;0,22 %;9;2,00 %;2;0,45 %;8;1,78 %
60;095;L.E.P. LANROZE;4;02;Élections Législatives 1er tour;859;386;13;0;373;44,94 %;96;25,74 %;75;20,11 %;68;18,23 %;29;7,77 %;50;13,40 %;9;2,41 %;15;4,02 %;8;2,14 %;4;1,07 %;2;0,54 %;7;1,88 %;2;0,54 %;1;0,27 %;2;0,54 %;3;0,80 %;2;0,54 %
61;061;GROUPE SCOLAIRE PEN-AR-STREAT;5;02;Élections Législatives 1er tour;920;251;14;0;237;27,28 %;87;36,71 %;21;8,86 %;25;10,55 %;18;7,59 %;50;21,10 %;5;2,11 %;6;2,53 %;9;3,80 %;1;0,42 %;4;1,69 %;2;0,84 %;4;1,69 %;1;0,42 %;2;0,84 %;1;0,42 %;1;0,42 %
62;066;GROUPE SCOLAIRE KERICHEN;5;02;Élections Législatives 1er tour;819;387;9;0;378;47,25 %;153;40,48 %;52;13,76 %;39;10,32 %;22;5,82 %;29;7,67 %;7;1,85 %;19;5,03 %;18;4,76 %;2;0,53 %;3;0,79 %;4;1,06 %;2;0,53 %;7;1,85 %;15;3,97 %;5;1,32 %;1;0,26 %
63;092;GROUPE SCOLAIRE QUESTEL;4;02;Élections Législatives 1er tour;933;425;10;0;415;45,55 %;120;28,92 %;58;13,98 %;66;15,90 %;44;10,60 %;66;15,90 %;8;1,93 %;11;2,65 %;9;2,17 %;8;1,93 %;6;1,45 %;2;0,48 %;3;0,72 %;5;1,20 %;5;1,20 %;1;0,24 %;3;0,72 %
64;059;MAISON POUR TOUS DE PEN AR CRÉACH;5;02;Élections Législatives 1er tour;731;264;16;0;248;36,11 %;65;26,21 %;34;13,71 %;35;14,11 %;25;10,08 %;45;18,15 %;4;1,61 %;1;0,40 %;10;4,03 %;14;5,65 %;4;1,61 %;3;1,21 %;3;1,21 %;0;0,00 %;2;0,81 %;2;0,81 %;1;0,40 %
65;050;GROUPE SCOLAIRE J. KERHOAS;5;02;Élections Législatives 1er tour;828;449;13;0;436;54,23 %;121;27,75 %;68;15,60 %;68;15,60 %;53;12,16 %;33;7,57 %;15;3,44 %;15;3,44 %;29;6,65 %;4;0,92 %;5;1,15 %;1;0,23 %;2;0,46 %;2;0,46 %;10;2,29 %;2;0,46 %;8;1,83 %
66;057;GROUPE SCOLAIRE KERBERNARD;5;02;Élections Législatives 1er tour;771;378;13;0;365;49,03 %;98;26,85 %;46;12,60 %;52;14,25 %;50;13,70 %;40;10,96 %;15;4,11 %;20;5,48 %;13;3,56 %;7;1,92 %;4;1,10 %;1;0,27 %;0;0,00 %;2;0,55 %;12;3,29 %;1;0,27 %;4;1,10 %
67;068;GROUPE SCOLAIRE KERICHEN;5;02;Élections Législatives 1er tour;871;439;9;0;430;50,40 %;147;34,19 %;56;13,02 %;65;15,12 %;54;12,56 %;30;6,98 %;19;4,42 %;18;4,19 %;15;3,49 %;4;0,93 %;3;0,70 %;5;1,16 %;3;0,70 %;0;0,00 %;6;1,40 %;3;0,70 %;2;0,47 %
