;Bureau;Circo;Tour;Inscrits;Total votants;Participation;Blancs;Nuls;Exprimés;M. CADALEN Pierre-Yves;M. LARSONNEUR Jean-Charles
41;068-GROUPE SCOLAIRE KERICHEN;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
42;069-GROUPE SCOLAIRE AUBRAC;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
43;070-GROUPE SCOLAIRE AUBRAC;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
44;071-GROUPE SCOLAIRE AUBRAC;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
45;072-GROUPE SCOLAIRE DUKAS;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
46;073-GROUPE SCOLAIRE DUKAS;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
47;074-GROUPE SCOLAIRE DUKAS;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
48;075-GROUPE SCOLAIRE KERINOU;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
49;076-GROUPE SCOLAIRE KERINOU;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
50;077-GROUPE SCOLAIRE BUISSON;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
51;078-GROUPE SCOLAIRE BUISSON;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
52;079-MAIRIE DE LAMBEZELLEC;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
53;080-MAIRIE DE BELLEVUE (SALLE LA BARAQUE);2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
54;081-MAIRIE DE BELLEVUE (SALLE LA BARAQUE);2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
55;082-MAIRIE DE BELLEVUE (SALLE LA BARAQUE);2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
56;083-GROUPE SCOLAIRE QUIZAC;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
57;084-GROUPE SCOLAIRE QUIZAC;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
58;085-GROUPE SCOLAIRE QUIZAC;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
59;086-GROUPE SCOLAIRE KERHALLET;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
60;087-GROUPE SCOLAIRE KERHALLET;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
61;088-GROUPE SCOLAIRE DUPOUY;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
62;089-GROUPE SCOLAIRE DUPOUY;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
63;090-PATRONAGE LAIQUE DE LA CAVALE BLANCHE;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
64;091-PATRONAGE LAIQUE DE LA CAVALE BLANCHE;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
65;092-GROUPE SCOLAIRE QUESTEL;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
66;093-GROUPE SCOLAIRE QUESTEL;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
67;094-GROUPE SCOLAIRE QUESTEL;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
68;095-L.E.P. LANROZE;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
69;096-L.E.P. LANROZE;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
70;097-GROUPE SCOLAIRE ROSTAND;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
71;098-GROUPE SCOLAIRE ROSTAND;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
72;099-GROUPE SCOLAIRE ROSTAND;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
73;100-C.E.S. PENN AR C'HLEUZ;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
74;101-C.E.S. PENN AR C'HLEUZ;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
75;102-PEPINIERE D'ENTREPRISES DE MEZHEVEN;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
76;103-CENTRE TECHNIQUE MUNICIPAL;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
77;104-CENTRE TECHNIQUE MUNICIPAL;2;2;64542;30560;47,35 %;1681;0;28879;15096;13783
