;Numéro;Bureau;Canton;Circo;Scrutin;Inscrits;Votants;Blancs;Nuls;Exprimés;Participation;M. LARSONNEUR Jean-Charles - votes;M. LARSONNEUR Jean-Charles - pourcentage;M. CADALEN Pierre-Yves - votes;M. CADALEN Pierre-Yves - pourcentage
37;037;HOTEL DE LA METROPOLE;2;02;Élections Législatives 2nd tour;821;449;26;0;423;54,69 %;207;48,94 %;216;51,06 %
38;039;GROUPE SCOLAIRE GUERIN;2;02;Élections Législatives 2nd tour;927;516;22;0;494;55,66 %;199;40,28 %;295;59,72 %
39;100;C.E.S. PENN AR C'HLEUZ;4;02;Élections Législatives 2nd tour;783;333;32;0;301;42,53 %;175;58,14 %;126;41,86 %
40;101;C.E.S. PENN AR C'HLEUZ;4;02;Élections Législatives 2nd tour;875;383;25;0;358;43,77 %;171;47,77 %;187;52,23 %
41;089;GROUPE SCOLAIRE DUPOUY;1;02;Élections Législatives 2nd tour;815;305;16;0;289;37,42 %;98;33,91 %;191;66,09 %
42;042;PATRONAGE LAÏQUE SANQUER;5;02;Élections Législatives 2nd tour;825;401;12;0;389;48,61 %;135;34,70 %;254;65,30 %
43;045;GROUPE SCOLAIRE FORESTOU;5;02;Élections Législatives 2nd tour;781;408;23;0;385;52,24 %;209;54,29 %;176;45,71 %
44;087;GROUPE SCOLAIRE KERHALLET;1;02;Élections Législatives 2nd tour;692;309;18;0;291;44,65 %;155;53,26 %;136;46,74 %
45;073;GROUPE SCOLAIRE DUKAS;1;02;Élections Législatives 2nd tour;761;258;23;0;235;33,90 %;88;37,45 %;147;62,55 %
46;074;GROUPE SCOLAIRE DUKAS;1;02;Élections Législatives 2nd tour;856;420;21;0;399;49,07 %;195;48,87 %;204;51,13 %
47;080;MAIRIE DE BELLEVUE (SALLE LA BARAQUE);1;02;Élections Législatives 2nd tour;632;272;18;0;254;43,04 %;113;44,49 %;141;55,51 %
48;027;MAIRIE CENTRALE;2;02;Élections Législatives 2nd tour;904;496;19;0;477;54,87 %;287;60,17 %;190;39,83 %
49;029;GROUPE SCOLAIRE SIMONE VEIL;2;02;Élections Législatives 2nd tour;864;430;20;0;410;49,77 %;176;42,93 %;234;57,07 %
50;081;MAIRIE DE BELLEVUE (SALLE LA BARAQUE);1;02;Élections Législatives 2nd tour;525;186;6;0;180;35,43 %;66;36,67 %;114;63,33 %
51;075;GROUPE SCOLAIRE KERINOU;1;02;Élections Législatives 2nd tour;954;418;25;0;393;43,82 %;166;42,24 %;227;57,76 %
52;072;GROUPE SCOLAIRE DUKAS;1;02;Élections Législatives 2nd tour;747;333;26;0;307;44,58 %;135;43,97 %;172;56,03 %
53;086;GROUPE SCOLAIRE KERHALLET;1;02;Élections Législatives 2nd tour;709;231;12;0;219;32,58 %;96;43,84 %;123;56,16 %
54;044;GROUPE SCOLAIRE PILIER ROUGE;5;02;Élections Législatives 2nd tour;836;416;21;0;395;49,76 %;158;40,00 %;237;60,00 %
55;088;GROUPE SCOLAIRE DUPOUY;1;02;Élections Législatives 2nd tour;737;244;18;0;226;33,11 %;85;37,61 %;141;62,39 %
56;043;GROUPE SCOLAIRE PILIER ROUGE;5;02;Élections Législatives 2nd tour;936;433;15;0;418;46,26 %;154;36,84 %;264;63,16 %
57;028;MAIRIE CENTRALE;2;02;Élections Législatives 2nd tour;885;455;29;0;426;51,41 %;227;53,29 %;199;46,71 %
58;032;GROUPE SCOLAIRE JEAN MACE;2;02;Élections Législatives 2nd tour;977;581;35;0;546;59,47 %;332;60,81 %;214;39,19 %
59;035;GROUPE SCOLAIRE SANQUER;2;02;Élections Législatives 2nd tour;824;420;20;0;400;50,97 %;153;38,25 %;247;61,75 %
60;095;L.E.P. LANROZE;4;02;Élections Législatives 2nd tour;860;396;25;0;371;46,05 %;209;56,33 %;162;43,67 %
61;061;GROUPE SCOLAIRE PEN-AR-STREAT;5;02;Élections Législatives 2nd tour;920;220;12;0;208;23,91 %;59;28,37 %;149;71,63 %
62;066;GROUPE SCOLAIRE KERICHEN;5;02;Élections Législatives 2nd tour;819;373;20;0;353;45,54 %;143;40,51 %;210;59,49 %
63;092;GROUPE SCOLAIRE QUESTEL;4;02;Élections Législatives 2nd tour;933;408;18;0;390;43,73 %;194;49,74 %;196;50,26 %
64;059;MAISON POUR TOUS DE PEN AR CRÉACH;5;02;Élections Législatives 2nd tour;731;230;16;0;214;31,46 %;91;42,52 %;123;57,48 %
65;050;GROUPE SCOLAIRE J. KERHOAS;5;02;Élections Législatives 2nd tour;828;428;25;0;403;51,69 %;215;53,35 %;188;46,65 %
66;057;GROUPE SCOLAIRE KERBERNARD;5;02;Élections Législatives 2nd tour;771;361;16;0;345;46,82 %;183;53,04 %;162;46,96 %
67;068;GROUPE SCOLAIRE KERICHEN;5;02;Élections Législatives 2nd tour;871;420;21;0;399;48,22 %;193;48,37 %;206;51,63 %
68;034;GROUPE SCOLAIRE SANQUER;2;02;Élections Législatives 2nd tour;744;435;23;0;412;58,47 %;209;50,73 %;203;49,27 %
69;033;GROUPE SCOLAIRE JEAN MACE;2;02;Élections Législatives 2nd tour;874;489;31;0;458;55,95 %;284;62,01 %;174;37,99 %
70;056;PATRONAGE LAIQUE du PILIER ROUGE;5;02;Élections Législatives 2nd tour;703;282;15;0;267;40,11 %;105;39,33 %;162;60,67 %
71;069;GROUPE SCOLAIRE AUBRAC;1;02;Élections Législatives 2nd tour;840;466;19;0;447;55,48 %;168;37,58 %;279;62,42 %
72;051;GROUPE SCOLAIRE KERISBIAN;5;02;Élections Législatives 2nd tour;881;487;23;0;464;55,28 %;257;55,39 %;207;44,61 %
73;093;GROUPE SCOLAIRE QUESTEL;4;02;Élections Législatives 2nd tour;1005;485;35;0;450;48,26 %;225;50,00 %;225;50,00 %
74;067;GROUPE SCOLAIRE KERICHEN;5;02;Élections Législatives 2nd tour;791;367;13;0;354;46,40 %;155;43,79 %;199;56,21 %
75;058;GROUPE SCOLAIRE KERBERNARD;5;02;Élections Législatives 2nd tour;822;317;19;0;298;38,56 %;133;44,63 %;165;55,37 %
76;060;CENTRE SOCIAL DE PEN AR CRÉACH;5;02;Élections Législatives 2nd tour;952;431;21;0;410;45,27 %;207;50,49 %;203;49,51 %
77;094;GROUPE SCOLAIRE QUESTEL;4;02;Élections Législatives 2nd tour;698;338;18;0;320;48,42 %;166;51,88 %;154;48,13 %
